"","SR","X","poligons","x","y","PSV","RPD"
"281",1.4142135623731,94437,517369,-77.875,0.125,0.163960161088387,-0.121046345129461
"285",1.4142135623731,94553,518803,-79.375,-0.125,0.303572578131883,-0.110298589129461
"286",3.16227766016838,94667,518919,-50.375,-0.125,0.346300646493944,0.0508762946080771
"287",2.64575131106459,94770,520338,-55.625,-0.375,0.319826638661261,0.064047824976976
"288",2.64575131106459,94771,520339,-55.375,-0.375,0.319826638661261,0.064047824976976
"289",1.4142135623731,94807,521689,-77.875,-0.625,0.61187871383461,0.0888191608705391
"290",1.4142135623731,94896,521778,-55.625,-0.625,0.516292485463529,0.026986964870539
"291",1.4142135623731,95072,524566,-78.625,-1.125,0.334450735169137,-0.101887072129461
"292",1.4142135623731,95208,526006,-78.625,-1.375,0.334450735169137,-0.101887072129461
"295",2.82842712474619,95498,528895,-76.375,-1.875,0.442514016443184,0.157399180422251
"296",3,95906,531899,-45.375,-2.375,0.430643711947156,0.0445354845059472
"297",3,95907,531900,-45.125,-2.375,0.430643711947156,0.0445354845059472
"298",1.4142135623731,96070,534650,-77.625,-2.875,0.119314020171961,-0.139904029129461
"299",1.4142135623731,96071,534651,-77.375,-2.875,0.119314020171961,-0.139904029129461
"300",1.4142135623731,96226,536090,-77.625,-3.125,0.119314020171961,-0.139904029129461
"301",1.4142135623731,96227,536091,-77.375,-3.125,0.119314020171961,-0.139904029129461
"302",2.23606797749979,96289,536153,-61.875,-3.125,0.294604642271973,0.0372234203106356
"304",4.58257569495584,96476,537618,-55.625,-3.375,0.384749773074065,0.128148732864011
"305",2.23606797749979,96477,537619,-55.375,-3.375,0.197387926858594,0.109956732310636
"307",3.74165738677394,96642,539058,-55.625,-3.625,0.224841817294053,0.166506990188855
"308",2,96717,540405,-78.875,-3.875,0.429723309670549,-0.0427997452768441
"310",3.87298334620742,96891,541848,-78.125,-4.125,0.440577065161489,0.155477571251468
"312",3.3166247903554,97409,546165,-78.875,-4.875,0.39480327737832,-0.115148294152389
"314",3.16227766016838,97504,546260,-55.125,-4.875,0.22723076623455,-0.00720117939192289
"315",4.24264068711928,97776,549054,-76.625,-5.375,0.377470254837232,-0.133023660939706
"316",5,97777,549055,-76.375,-5.375,0.431898938810659,0.053582787110686
"317",2.64575131106459,97779,549057,-75.875,-5.375,0.313983325286085,-0.127543579023024
"318",2,97923,549201,-39.875,-5.375,0.359185495436881,0.084226414723156
"319",3.60555127546399,97936,549214,-36.625,-5.375,0.445465858775047,0.111003940100323
"320",2.64575131106459,98134,551925,-78.875,-5.875,0.446491766117813,0.0737782319769761
"321",4.69041575982343,98139,551930,-77.625,-5.875,0.420591262564094,-0.0172004424763632
"322",4.58257569495584,98687,556252,-77.125,-6.625,0.514541161988909,0.155238775864011
"323",5.3851648071345,98693,556258,-75.625,-6.625,0.400402328529039,-0.0582345236273608
"324",2.82842712474619,99403,562011,-77.375,-7.625,0.425767953237125,0.247159012422251
"325",2.23606797749979,99764,564897,-75.875,-8.125,0.358866220502742,-0.136927968689364
"326",3.46410161513775,99940,566337,-75.875,-8.375,0.425132500155778,0.12613780920723
"330",3.87298334620742,101148,576419,-75.375,-10.125,0.401818014320458,-0.0327822957485319
"333",3.74165738677394,101342,577885,-68.875,-10.375,0.415093889944327,0.190331385188855
"334",3.3166247903554,101959,582328,-38.125,-11.125,0.41035297098646,0.0261183758476114
"335",5.09901951359278,101985,583633,-71.875,-11.375,0.434053133456729,0.16647599367555
"337",2.44948974278318,101993,583641,-69.875,-11.375,0.421285979517932,0.300012038551097
"342",1.73205080756888,102516,588007,-58.375,-12.125,0.547864237456244,0.149252331431987
"343",2.64575131106459,102594,588085,-38.875,-12.125,0.281889314194735,-0.0316592870230239
"349",4.89897948556636,102933,592279,-70.375,-12.875,0.42735919198616,0.076295571478404
"350",1.4142135623731,102937,592283,-69.375,-12.875,0.0956824082434529,0.0593029128705391
"353",2.23606797749979,103348,595272,-42.125,-13.375,0.330097081189422,0.0883023053106357
"354",3,103524,598029,-72.875,-13.875,0.356305637177079,-0.105801181494053
"356",2.23606797749979,103801,599597,-40.875,-14.125,0.407885080996306,0.103526613310636
"357",4,103927,601015,-46.375,-14.375,0.39693628989989,-0.0734287129347557
"358",2.44948974278318,104044,602424,-54.125,-14.625,0.487086449792528,0.189918219551097
