,x,y,Temperature,Temperature_seasonality,rainseasonality,Precipitation,Humanpopdens,Human_footprint,PET,Ec.Het,EVI,Host_richness,Degree_of_generalism
27,-119.125,38.625,-0.080858956,0.042537098,-0.20445877,-0.978070681,-0.16432086,-0.633475859,0.559584752,0.531797925,-1.200023485,0.115016377,-1.413604583
28,-119.375,50.375,-0.199316943,0.350460925,-0.951143197,-0.693756751,-0.060544087,0.467885837,-0.293579828,-0.789730588,-0.061636691,0.054122997,1.851738451
29,-120.125,38.625,-0.218938819,-0.218792528,1.400772921,0.445521116,-0.163802347,-0.492726238,0.06038217,1.347096612,-0.376526685,0.069346342,-1.310585257
30,-120.375,38.625,0.232364312,-0.197470655,1.635684876,0.666036294,-0.163910906,-0.469081447,0.49135142,0.94156273,0.415468458,0.038899652,-1.310585257
31,-120.375,52.375,-0.70585202,0.223552571,-1.015464328,0.00408633,-0.16428849,-0.905501806,-0.725168594,0.137687533,-0.566843372,-0.120945469,0.366979673
32,-120.375,55.875,-0.702218339,1.099812781,0.248585715,-0.644820783,-0.151104522,-0.422269282,-0.6444124,-1.237573691,-0.179322458,-0.265567246,0.671247388
33,-120.625,49.125,-0.584487087,0.206868954,-0.134544497,-0.477993619,-0.1641817,-0.794840683,-0.500141507,-0.162707935,-0.432298911,0.06173467,1.328094721
34,-120.875,46.625,-0.120829442,0.023913526,1.000863284,-0.390434635,-0.154297411,-0.07606512,-0.056434166,1.245131389,-0.6030676,-0.0296054,-1.413604583
35,-121.125,54.875,-0.795967299,0.567859379,-0.691062105,-0.3021679,-0.164321047,-0.848058679,-0.772179595,-0.368542295,-0.216464562,-0.197062194,0.368856802
36,-121.125,55.125,-0.746549242,0.672493518,-0.500895284,-0.403881916,-0.158702801,-0.69162442,-0.735723697,-0.55068349,-0.249002931,-0.204673866,0.876641108
37,-121.125,55.375,-0.735648201,0.763071799,-0.265983329,-0.494271906,-0.164230391,-0.768452689,-0.723618551,-0.810885199,-0.136730863,-0.250343901,0.218957054
38,-121.125,57.875,-0.976924593,1.637550777,0.438752535,-0.732784197,-0.16432167,-0.897181643,-0.737378535,-1.431138377,-0.175465905,-0.37213066,0.736443763
39,-121.375,55.625,-0.680416255,0.85072251,-0.039461087,-0.58223532,-0.16383536,-0.628712572,-0.680481845,-0.962775302,0.014374827,-0.250343901,0.177543764
40,-121.375,58.625,-1.037970427,1.866906411,0.494683953,-0.750073557,-0.164317915,-0.878123768,-0.714268464,-1.258516756,-0.27413969,-0.37213066,2.14756393
41,-124.625,58.875,-1.125178761,1.316876152,0.382821117,-0.665648902,-0.16431774,-0.922280049,-0.906294598,0.489065612,-0.545310042,-0.43302404,2.14756393
42,-126.625,55.125,-0.755270076,0.518954868,-0.758179806,-0.571012402,-0.164278866,-0.961077189,-0.691932305,-0.472834524,-0.288688417,-0.364518988,0.212800033
43,-127.125,55.625,-0.798874243,0.48770395,-0.679875821,-0.602153472,-0.16432167,-0.966149573,-0.761534632,-0.13584158,-0.460334636,-0.379742333,0.88850383
44,-128.375,60.375,-1.40642564,1.782183269,-0.405811874,-0.649471722,-0.164321447,-0.936207202,-0.961041793,-0.455910836,-0.510841294,-0.509140765,0.960507759
45,-129.125,57.875,-1.10483015,0.762242909,-0.302338751,-0.65917803,-0.164319043,-0.966149573,-0.941847783,-0.73261314,-0.59705785,-0.46347073,0.085570619
46,-129.375,57.625,-1.074307233,0.608333903,-0.302338751,-0.631272395,-0.164319005,-0.867754526,-0.979223925,-0.61097413,-0.897975943,-0.46347073,-0.172712256
