"","x","y","aet","Ec.Het","Humanpopdens","Human_footprint","Prec.seas.","rad","shannon_diversity","trange","Temperature","precipitation","Host_richness"
"62",-129.375,57.625,290.896757384575,0.0504484120179848,0.00157870445400476,0.786241552175249,33.2758703231808,54,1.40874158525805,34.9404222965239,-1.05983074940752,610.937500000009,93
"63",-129.625,57.375,289.821427899831,0.0557921334400243,0.00157870433758944,0.0036313713497428,29.7922942638398,54,1.50429827112778,32.1103284358979,-2.27887049317357,821.124999999997,91
"64",-129.875,57.375,301.113085722812,0.06408496346784,0.00157870445400476,0.0642196255164436,29.0654038190842,53.8125,1.43283211921996,31.1991723775864,-2.23995450139049,874.375000000001,90
"65",-133.375,58.375,332.513652913061,0.111064910074684,0.00338306510820985,0.422830367232701,33.9372551441192,51,1.31918428639036,25.33318734169,-0.980141287669614,1521.4375,105
"66",-134.625,59.125,355.990357303168,0.0780147783779157,0.000883606844581664,0.327554818051529,36.8163411617278,49.8125,0.4853665639834,27.2756552696228,-2.9982284754515,1069.4375,106
"67",-145.125,65.125,311.864853798178,0.0246847082117219,0.00149752642028034,0.329770590833172,79.2170448303226,52,1.01009713613622,48.7430777549742,-5.89802658557892,249.625,78
"68",-145.375,63.125,287.426346680709,0.0743885998756918,0.000116547256766353,0.985934025792711,82.7310032844543,50,1.30520611602809,40.5503745079041,-5.18723180890083,298.125,81
"69",-145.625,61.125,253.240709334182,0.103313571311041,0.0113670481368899,1.68276860980972,28.5567659139633,46.5625,1.74983040799614,32.7460174560547,-2.92758400738241,816.4375,70
"70",-145.875,63.125,286.890672817867,0.0430414209041542,0,1.02751656257484,81.9720106124878,49.9375,0.872920889448604,40.072250366211,-4.35689330101012,294.499999999999,81
"71",-146.375,64.875,346.271499895428,0.0407712162087011,0.00206834194250405,2.2688419412674,68.0502395629887,52,1.02703048946405,47.5589363574982,-3.63741599023346,304.187499999999,77
"72",-146.625,65.125,342.376096110106,0.0436076647202202,0.0181287527084351,1.43509332683121,65.2733876705171,52,1.1203141177329,46.0709698200225,-4.31953500211239,312.1875,79
"73",-146.875,63.125,281.235585931045,0.0479865169217526,0,0.772999013732386,73.964638233185,49.75,0.805357243967245,37.7972967624665,-4.55377674102783,335.624999999999,75
"74",-147.875,63.375,268.529112359211,0.0457271272222639,0,0.570901034201331,63.3236954212191,49.75,0.981750894440609,39.0699379444123,-4.29824870824814,373.249999999999,74
"75",-148.375,61.125,248.281311124957,0.125514795270534,0.00653281947597861,0.419744812742674,33.259658575058,45.5625,1.14770843042571,23.5011330842971,-1.74984078668058,717,74
"76",-148.625,60.125,258.130282349462,0.146854704875449,0.0212060380727053,0.464040062198377,36.0239415168762,42.75,0.907919668757459,18.207208275795,0.0146569926291804,1148.875,72
"77",-148.625,65.375,369.674326290777,0.0361654554244097,0.00718886125832796,0.986133907556095,62.5175678730011,NA,1.15148363815265,49.7086095809936,-3.76635479927062,284.5625,75
"78",-148.875,61.125,244.032708187426,0.124486195877973,0.37026458978653,2.12935784996063,33.7578275203704,45.75,1.05686789221488,24.0081716775893,-2.32685863971715,745.875000000002,72
"79",-149.375,70.375,92.9800095298769,NA,0.297754883766174,8.57191150294581,68.6232833862304,48,0.770101131384014,43.7778122425079,-11.3245714306831,155.875,26
"80",-149.875,67.125,319.635786682537,NA,0.00106992945075035,0.224857570476975,59.903473854065,48,0.869221461705056,46.4752829074861,-5.79526090621943,315.937499999999,59
"81",-150.375,59.625,259.409246280998,0.123365121482501,0,1.54858076696576,37.7155599594115,43.0625,1.72401131030764,20.8652422428131,1.45193242654202,1125.25,74
"82",-150.875,60.625,301.053789310771,0.032728271485628,10.2036142349243,4.30101133110031,42.6672186851501,45.75,1.19779738265906,31.4829812049866,1.98700432479381,760.562499999999,69
"83",-155.125,58.625,219.655346954804,0.0836652151275746,0.000687623745761812,0,30.0996181964873,46,1.59892043841201,26.0422033071518,1.68154688086361,871.750000000002,57
"84",-159.375,62.875,229.67101136483,0.033355344953228,0,3.35547468149228e-07,58.0180811882019,47,1.3036574619046,42.3054211139679,-2.1868507862091,423.375,58
"85",-16.625,28.125,355.556778407972,0.058703856008467,249.823440551758,20.5721838022374,80.1548681259155,94.3125,1.54633348582133,17.2680689096451,17.0313782691956,323.312499999999,50
"86",-2.125,38.875,528.413933995735,0.0264788142051516,29.9721126556396,9.21214601102391,39.7945029735564,73.5625,1.04157345830253,34.628202676773,13.8656818270683,419.875,88
"87",-2.125,39.125,513.450444827107,0.0223111532636028,46.608642578125,12.6613555120634,40.090636730194,73.1875,0.374599054699334,33.755110502243,14.4147884249687,409.124999999999,87
"88",-2.125,40.875,694.343499699189,0.0261149036446425,1.06174635887146,4.75305219408006,34.2105503082274,69.9375,1.21824933789317,31.25210916996,10.3952113389969,558.812500000001,84
"89",-2.375,37.125,407.900513866027,0.0334167512098007,7.44096755981445,6.3569301429933,47.5562181472777,77.25,1.00051690455368,31.389796257019,14.8412609100342,358.187499999997,100
"90",-2.375,52.125,502.762287805492,0.0356813759811761,150.099761962891,21.9799557639987,16.2936886548994,47,1.5266495472201,19.8187817335129,9.3146606087685,841.812499999991,51
"91",-2.375,52.375,498.621289616352,0.0451640196330583,173.740737915039,22.5057370132844,17.4336594939231,47.1875,1.53433958742957,19.3520934581757,9.01732665300372,920.937499999998,51
"92",-2.625,52.125,490.792049392832,0.0315952932098767,184.395889282227,20.9247037803214,17.2606946229934,47,1.38652606863697,20.2558275461197,9.25849688053131,746.187500000001,41
"93",-2.625,52.375,501.529850570121,0.0327848508230452,56.1011657714844,17.6876265751158,18.348848938942,47.0625,1.45993943838126,19.686718583107,8.73961585760116,923.937500000003,42
"94",-3.375,39.375,333.86996702568,0.0256449331275723,33.7884483337402,11.8461793383739,43.0577635765076,72.75,0.951436210889646,33.8169701099396,14.7737085223198,398.375,93
